District,BEDSCODE,COUNTY_DESC
GALWAY CSD,520701,SARATOGA
GANANDA CSD,650902,WAYNE
GARDEN CITY UFSD,280218,NASSAU
GARRISON UFSD,480404,PUTNAM
GATES-CHILI CSD,260401,MONROE
GENERAL BROWN CSD,220401,JEFFERSON
GENESEE VALLEY CSD ,207020,ALLEGANY
GENESEO CSD,240401,LIVINGSTON
GENEVA CITY SD,430700,ONTARIO
GEORGE JUNIOR REPUBLIC UFSD,610327,TOMPKINS
GEORGETOWN-SOUTH OTSELIC CSD,814010,CHENANGO
GERMANTOWN CSD,100902,COLUMBIA
GILBERTSVILLE-MOUNT UPTON CSD,470202,OTSEGO
GILBOA-CONESVILLE CSD,540801,SCHOHARIE
GLEN COVE CITY SD,280100,NASSAU
GLENS FALLS CITY SD,630300,WARREN
GLENS FALLS COMN SD,630918,WARREN
GLOVERSVILLE CITY SD,170500,FULTON
GORHAM-MIDDLESEX CSD (MARCUS WHITMAN,430901,ONTARIO
GOSHEN CSD,440601,ORANGE
GOUVERNEUR CSD,511101,SAINT LAWRENCE
GOWANDA CSD,428010,CATTARAUGUS
GRAND ISLAND CSD,141501,ERIE
GRANVILLE CSD,640701,WASHINGTON
GREAT NECK UFSD,280407,NASSAU
GREECE CSD,260501,MONROE
GREEN ISLAND UFSD,107010,ALBANY
GREENBURGH CSD,660407,WESTCHESTER
GREENBURGH ELEVEN UFSD,660411,WESTCHESTER
GREENBURGH-GRAHAM UFSD,660410,WESTCHESTER
GREENBURGH-NORTH CASTLE UFSD,660412,WESTCHESTER
GREENE CSD,806010,CHENANGO
GREENPORT UFSD,581010,SUFFOLK
GREENVILLE CSD,190701,GREENE
GREENWICH CSD,640801,WASHINGTON
GREENWOOD LAKE UFSD,442111,ORANGE
GROTON CSD,610501,TOMPKINS
GUILDERLAND CSD,108020,ALBANY
HADLEY-LUZERNE CSD,630801,WARREN
HALDANE CSD,480401,PUTNAM
HALF HOLLOW HILLS CSD,580405,SUFFOLK
HAMBURG CSD,141601,ERIE
HAMILTON CSD,250701,MADISON
HAMMOND CSD,511201,SAINT LAWRENCE
HAMMONDSPORT CSD,572901,STEUBEN
HAMPTON BAYS UFSD,580905,SUFFOLK
HANCOCK CSD,120906,DELAWARE
HANNIBAL CSD,460701,OSWEGO
HARBORFIELDS CSD,580406,SUFFOLK
HARPURSVILLE CSD,305010,BROOME
HARRISON CSD,660501,WESTCHESTER
HARRISVILLE CSD,230301,LEWIS
HARTFORD CSD,641001,WASHINGTON
HASTINGS-ON-HUDSON UFSD,660404,WESTCHESTER
HAUPPAUGE UFSD,580506,SUFFOLK
HAVERSTRAW-STONY POINT CSD (NORTH RO,500201,ROCKLAND
HAWTHORNE-CEDAR KNOLLS UFSD,660803,WESTCHESTER
HEMPSTEAD UFSD,280201,NASSAU
HENDRICK HUDSON CSD,660203,WESTCHESTER
HERKIMER CSD,210601,HERKIMER
HERMON-DEKALB CSD,511301,SAINT LAWRENCE
HERRICKS UFSD,280409,NASSAU
HEUVELTON CSD,512404,SAINT LAWRENCE
HEWLETT-WOODMERE UFSD,280214,NASSAU
HICKSVILLE UFSD,280517,NASSAU
HIGHLAND CSD,620803,ULSTER
HIGHLAND FALLS CSD,440901,ORANGE
HILTON CSD,261101,MONROE
HINSDALE CSD,414010,CATTARAUGUS
HOLLAND CSD,141701,ERIE
HOLLAND PATENT CSD,412201,ONEIDA
HOLLEY CSD,450704,ORLEANS
HOMER CSD,110701,CORTLAND
HONEOYE CSD,431401,ONTARIO
HONEOYE FALLS-LIMA CSD,260901,MONROE
HOOSIC VALLEY CSD,491401,RENSSELAER
HOOSICK FALLS CSD,490501,RENSSELAER
HORNELL CITY SD,571800,STEUBEN
HORSEHEADS CSD,709010,CHEMUNG
HUDSON CITY SD,101300,COLUMBIA
HUDSON FALLS CSD,641301,WASHINGTON
HUNTER-TANNERSVILLE CSD,190901,GREENE
HUNTINGTON UFSD,580403,SUFFOLK
HYDE PARK CSD,130801,DUTCHESS
INDIAN LAKE CSD,200401,HAMILTON
INDIAN RIVER CSD,220301,JEFFERSON
IROQUOIS CSD,141301,ERIE
IRVINGTON UFSD,660402,WESTCHESTER
ISLAND PARK UFSD,280231,NASSAU
ISLAND TREES UFSD,280226,NASSAU
ISLIP UFSD,580502,SUFFOLK
ITHACA CITY SD,610600,TOMPKINS
JAMESTOWN CITY SD,617000,CHAUTAUQUA
JAMESVILLE-DEWITT CSD,420411,ONONDAGA
JASPER-TROUPSBURG CSD,572702,STEUBEN
